basin;seed
01013500;66
01052500;27
01055000;72
01137500;66
04040500;80
04057800;80
10336645;94
10336660;80
11523200;05
12048000;33
12054000;48
12056500;80
12082500;05
12092000;11
12114500;59
12115000;80
12141300;48
12143600;72
12175500;66
12178100;48
12186000;94
12189500;59
12358500;94
12375900;27
12377150;05
12381400;27
12383500;94
12390700;80
12411000;48
12414500;11
12447390;80
12451000;59
12488500;05
13240000;72
13310700;66
13313000;94
13331500;33
13337000;59
13338500;94
13340000;80
13340600;66
14020000;48
14092750;27
14137000;33
14138800;27
14158500;94
14158790;66
